game_id,season,home_goals,away_goals
2002021188,2002,2,2
2002021189,2002,4,0
2002021190,2002,3,0
2002021191,2002,2,3
2002021192,2002,1,2
2002021193,2002,4,3
2002021194,2002,2,1
2002021195,2002,3,0
2002021196,2002,3,2
2002021197,2002,2,1
2002021198,2002,2,2
2002021199,2002,3,3
2002021200,2002,5,3
2002021201,2002,1,5
2002021202,2002,2,1
2002021203,2002,1,1
2002021204,2002,5,2
2002021205,2002,4,6
2002021206,2002,3,3
2002021207,2002,5,5
2002021208,2002,1,2
2002021209,2002,1,4
2002021210,2002,4,1
2002021211,2002,2,2
2002021212,2002,2,1
2002021213,2002,1,0
2002021214,2002,3,4
2002021215,2002,8,5
2002021216,2002,2,3
2002021217,2002,1,3
2002021218,2002,5,4
2002021219,2002,5,3
2002021220,2002,1,4
2002021221,2002,1,2
2002021222,2002,4,3
2002021223,2002,2,2
2002021224,2002,4,3
2002021225,2002,6,2
2002021226,2002,2,6
2002021227,2002,2,0
2002021228,2002,5,2
2002021229,2002,0,2
2002021230,2002,3,3
2003020001,2003,3,3
2003020002,2003,4,1
2003020003,2003,1,0
2003020004,2003,5,2
2003020005,2003,2,0
2003020006,2003,6,1
2003020007,2003,2,1
2003020008,2003,3,1
2003020009,2003,3,2
2003020010,2003,3,1
2003020011,2003,5,2
2003020012,2003,4,1
2003020013,2003,0,3
2003020014,2003,5,1
2003020015,2003,5,3
2003020016,2003,5,0
2003020017,2003,2,1
2003020018,2003,0,6
2003020019,2003,0,4
2003020020,2003,2,3
2003020021,2003,3,3
2003020022,2003,3,4
2003020023,2003,1,2
2003020024,2003,5,0
2003020025,2003,1,1
2003020026,2003,1,3
2003020027,2003,3,2
2003020028,2003,3,0
2003020029,2003,2,4
2003020030,2003,2,3
2003020031,2003,0,2
2003020032,2003,1,2
2003020033,2003,4,3
2003020034,2003,2,2
2003020035,2003,3,2
2003020036,2003,2,2
2003020037,2003,5,1
2003020038,2003,2,2
2003020039,2003,1,0
2003020040,2003,1,2
2003020041,2003,0,2
2003020042,2003,4,3
2003020043,2003,0,0
2003020044,2003,5,1
2003020045,2003,2,1
2003020046,2003,4,1
2003020047,2003,2,2
2003020048,2003,3,2
2003020049,2003,2,5
2003020050,2003,4,1
2003020051,2003,4,1
2003020052,2003,0,0
2003020053,2003,4,2
2003020054,2003,0,3
2003020055,2003,0,1
2003020056,2003,2,1
2003020057,2003,2,2
2003020058,2003,7,2
2003020059,2003,2,3
2003020060,2003,4,3
2003020061,2003,4,1
2003020062,2003,3,2
2003020063,2003,2,2
2003020064,2003,0,2
2003020065,2003,6,3
2003020066,2003,4,5
2003020067,2003,3,4
2003020068,2003,1,4
2003020069,2003,3,1
2003020070,2003,3,1
2003020071,2003,3,4
2003020072,2003,5,2
2003020073,2003,3,1
2003020074,2003,2,1
2003020075,2003,6,1
2003020076,2003,3,2
2003020077,2003,2,3
2003020078,2003,1,4
2003020079,2003,4,6
2003020080,2003,4,0
2003020081,2003,0,2
2003020082,2003,1,2
2003020083,2003,1,1
2003020084,2003,4,1
2003020085,2003,1,3
2003020086,2003,3,2
2003020087,2003,4,3
2003020088,2003,0,1
2003020089,2003,0,2
2003020090,2003,3,0
2003020091,2003,5,1
2003020092,2003,4,2
2003020093,2003,6,1
2003020094,2003,4,5
2003020095,2003,1,5
2003020096,2003,3,3
2003020097,2003,1,2
2003020098,2003,3,4
2003020099,2003,4,0
2003020100,2003,1,2
2003020101,2003,2,5
2003020102,2003,4,1
2003020103,2003,2,6
2003020104,2003,7,2
2003020105,2003,3,1
2003020106,2003,4,4
2003020107,2003,2,3
2003020108,2003,2,3
2003020109,2003,2,5
2003020110,2003,3,2
2003020111,2003,3,5
2003020112,2003,2,4
2003020113,2003,2,3
2003020114,2003,4,4
2003020115,2003,1,1
2003020116,2003,1,3
2003020117,2003,3,3
2003020118,2003,5,0
2003020119,2003,2,3
2003020120,2003,1,3
2003020121,2003,0,2
2003020122,2003,0,4
2003020123,2003,3,0
2003020124,2003,1,3
2003020125,2003,1,0
2003020126,2003,2,2
2003020127,2003,4,2
2003020128,2003,6,3
2003020129,2003,5,1
2003020130,2003,2,4
2003020131,2003,4,4
2003020132,2003,5,6
2003020133,2003,4,3
2003020134,2003,0,1
2003020135,2003,5,3
2003020136,2003,4,1
2003020137,2003,2,2
2003020138,2003,2,3
2003020139,2003,3,2
2003020140,2003,5,3
2003020141,2003,3,2
2003020142,2003,0,1
2003020143,2003,4,3
2003020144,2003,1,3
2003020145,2003,2,1
2003020146,2003,1,4
2003020147,2003,4,3
2003020148,2003,4,1
2003020149,2003,3,2
2003020150,2003,1,7
2003020151,2003,1,5
2003020152,2003,1,1
2003020153,2003,4,3
2003020154,2003,2,6
2003020155,2003,2,3
2003020156,2003,1,1
2003020157,2003,2,1
2003020158,2003,3,0
2003020159,2003,4,4
2003020160,2003,7,3
2003020161,2003,2,3
2003020162,2003,1,2
2003020163,2003,2,2
2003020164,2003,3,1
2003020165,2003,7,3
2003020166,2003,6,3
2003020167,2003,5,1
2003020168,2003,3,0
2003020169,2003,1,5
2003020170,2003,4,2
2003020171,2003,2,4
2003020172,2003,2,1
2003020173,2003,4,4
2003020174,2003,0,3
2003020175,2003,4,7
2003020176,2003,3,2
2003020177,2003,2,3
2003020178,2003,3,4
2003020179,2003,4,1
2003020180,2003,4,2
2003020181,2003,6,3
2003020182,2003,0,1
2003020183,2003,5,5
2003020184,2003,3,3
2003020185,2003,3,2
2003020186,2003,2,1
2003020187,2003,4,2
2003020188,2003,1,1
2003020189,2003,6,3
2003020190,2003,2,1
2003020191,2003,1,2
2003020192,2003,0,3
2003020193,2003,1,2
2003020194,2003,4,1
2003020195,2003,4,1
2003020196,2003,3,0
2003020197,2003,0,1
2003020198,2003,3,4
2003020199,2003,2,3
2003020200,2003,3,2
2003020201,2003,9,0
2003020202,2003,3,4
2003020203,2003,2,0
2003020204,2003,4,3
2003020205,2003,4,3
2003020206,2003,4,3
2003020207,2003,1,1
2003020208,2003,3,4
2003020209,2003,2,1
2003020210,2003,4,5
2003020211,2003,2,3
2003020212,2003,3,0
2003020213,2003,4,3
2003020214,2003,1,1
2003020215,2003,2,1
2003020216,2003,3,5
2003020217,2003,4,0
2003020218,2003,1,0
2003020219,2003,3,4
2003020220,2003,2,2
2003020221,2003,6,2
2003020222,2003,7,1
2003020223,2003,2,6
2003020224,2003,2,6
2003020225,2003,5,1
2003020226,2003,3,1
2003020227,2003,4,3
2003020228,2003,5,1
2003020229,2003,5,2
2003020230,2003,3,1
2003020231,2003,4,1
2003020232,2003,0,2
2003020233,2003,3,2
2003020234,2003,4,4
2003020235,2003,3,4
2003020236,2003,2,5
2003020237,2003,0,4
2003020238,2003,1,2
2003020239,2003,3,4
2003020240,2003,3,3
2003020241,2003,5,0
2003020242,2003,0,1
2003020243,2003,2,1
2003020244,2003,2,3
2003020245,2003,4,0
2003020246,2003,1,2
2003020247,2003,2,3
2003020248,2003,4,3
2003020249,2003,1,1
2003020250,2003,3,0
2003020251,2003,2,1
2003020252,2003,2,2
2003020253,2003,5,2
2003020254,2003,2,2
2003020255,2003,2,2
2003020256,2003,4,3
2003020257,2003,1,2
2003020258,2003,2,2
2003020259,2003,2,1
2003020260,2003,3,2
2003020261,2003,5,2
2003020262,2003,5,4
2003020263,2003,2,2
2003020264,2003,4,1
2003020265,2003,2,6
2003020266,2003,5,4
2003020267,2003,1,4
